Id,track_id,artists,album_name,track_name,track_genre,duration_ms,mode,tempo,popularity,key,loudness,explicit,time_signature,danceability,energy,valence,acousticness,instrumentalness,speechiness,liveness
62947,5m0IZCKuQ1ea4wCnpWr0ne,Jack Jones,World's Best Christmas Playlist,Mistletoe And Holly,j-pop,101826,1,98.439,0,6,-10.766,False,1,0.451,0.566,0.847,0.697,0,0.0382,0.119
62948,7zjfRgoJpaGbWNoJkITe4g,Jack Jones,Weihnachtssongs,Mistletoe And Holly,j-pop,101826,1,98.439,0,6,-10.766,False,1,0.451,0.566,0.847,0.697,0,0.0382,0.119
62949,1gqzfRT3W1VFfVAh6N7BrU,Jack Jones,Fiesta temática 60s,Mistletoe And Holly,j-pop,101826,1,98.439,0,6,-10.766,False,1,0.451,0.566,0.847,0.697,0,0.0382,0.119
62950,4wUQvovMEkByMvZNCecZ9v,Junko Yagami,黄昏のBAY CITY,黄昏のBAY CITY,j-pop,250373,0,115.099,60,9,-5.462,False,4,0.775,0.837,0.842,0.5,0.00235,0.0343,0.298
62951,3oZ1DkKe2ZcvPh5Ffv6L0c,yama,a.m.3:21,a.m.3:21,j-pop,208409,0,110.169,54,5,-5.006,False,4,0.634,0.736,0.752,0.295,1.1E-4,0.109,0.215
62952,0NlM3asfhPzhDwm5frXquS,Vaundy,strobo,life hack,j-pop,226443,0,90.981,62,11,-5.987,False,4,0.711,0.655,0.759,0.0233,4.5E-4,0.047,0.115
62953,1gtbPEFs1FsPgX0daraCdP,OHAYO;Shake Pepper;Yvngboi P,FTL Mixtape vol.2 (mixed by Thlive - DJMIX),GAL - Mixed,j-pop,146629,1,156.307,49,1,-12.285,True,4,0.826,0.453,0.807,0.00439,0,0.336,0.372
62954,2KP76NyUIH8XNvWa84lRPi,BURNOUT SYNDROMES,ヒカリアレ,ヒカリアレ,j-pop,244800,1,177.948,47,7,-1.734,False,4,0.311,0.944,0.398,0.0116,0,0.14,0.383
62955,3Gj9gaVfc3HHyqcIFaSa70,Yuuri,インフィニティ,インフィニティ,j-pop,245853,1,177.999,54,2,-5.193,False,4,0.555,0.66,0.786,0.228,0,0.0531,0.215
62956,0cEill2tVJ38caZlb3LyFy,Fujii Kaze,damn,damn,j-pop,259237,1,129.984,54,7,-7.993,False,4,0.71,0.758,0.695,0.00348,5.87E-5,0.0331,0.0999
